제품명,브랜드,카테고리,성분명
바디 워시,궁중비책(GOONGBE),클렌저/워시,"정제수;라우릴글루코사이드;다이소듐코코암포다이아세테이트;포타슘코코일글리시네이트;소듐코코일애플아미노산;아크릴레이트/스테아레스-20메타크릴레이트코폴리머;소듐클로라이드;상엽추출물;흰버드나무껍질추출물;회화나무뿔리추출물;복사나무잎추출물;매실추출물;팥추출물;귀리커넬오일;퀼라야껍질추출물;펜틸렌글라이콜;코코-글루코사이드;글리세릴카프릴레이트;시트릭애씨드;카프릴릴글라이콜;스타이렌/아크릴레이트코폴리머;헥실렌글라이콜;폴리쿼터늄-10;소듐코코일이세티오네이트;1,2-헥산다이올;메틸프로판다이올;부틸렌글라이콜;에틸헥실글리세린;다이소듐이디티에이;향료"
밸런싱 로션,궁중비책(GOONGBE),로션,"정제수;글리세린;카프릴릭/카프릭트라이글리세라이드;쉐어버터;사이클로메티콘;베헤닐알코올;세테아릴올리베이트;솔비탄올리베이트;상엽추출물;흰버드나무껍질추출물;회화나무뿌리추출물;복사나무잎추출물;매실추출물;사철쑥추출물;판테놀;병풀추출물;무화과추출물;황벽나무껍질추출물;하이드로제네이티드레시틴;베타-글루칸;하이드록시아세토페논;1,2-헥산다이올;세테아릴알코올;글리세릴알코올;글리세릴스테아레이트;세틸알코올;포타슘세틸포스페이트;하이드로제네이티드팜글리세라이드;소듐스테아로일글루타메이트;수크로오스스테아레이트;슈크로오스트리스테아레이트;알지닌;카보머;에틸헥실글리세린;메틸프로판다이올;세라마이드엔피;향료"
밸런싱 크림,궁중비책(GOONGBE),크림/젤,"정제수;프로판다이올;베헤닐알코올;다이카프릴릴에터;시어버터;식물성오일;카프릴릭/카프릭트라이글리세라이드;사이클로메티콘;글리세릴스테아레이트에스이;포타슘세틸포스페이트;하이드로제네이트팜글리세라이드;상엽추출물;흰버드나무껍질추출물;회화나무뿌리추출물;복사나무잎추출물;매실추출물;사철쑥추출물;판테놀;황벽나무껍질추출물;병풀추출물;무화과추출물;하이드로제네이티드레시틴;베타-글루칸;하이드록시아세토페논;1,2-헥산다이올;세테아릴알코올;글리세린;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;알지닌;잔탄검;에틸헥실글리세린;소듐스테아로일글루타메이트;다이소듐이디티에이;메틸프로판다이올;세라마이드엔피;향료"
샴푸&바스,궁중비책(GOONGBE),클렌저/워시,"정제수;라우릴글루코사이드;다이소듐코코암포다이아세테이트;코코-베타인;포타슘코코일글루타메이트;코코-글루코사이드;소듐클로라이드;상엽추출물;흰버드나무껍질추출물;회화나무뿌리추출물;복사나무잎추출물;매실추출물;팥추출물;귀리커넬오일;퀼라야껍질추출물;글리세릴올리에이트;카프릴릴글라이콜;헥실렌글라이콜;소듐코코일글루타메이트;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;시트릭애씨드;소듐코코일이세티오네이트;알지닌;1,2-헥산다이올;부틸렌글라이콜;메틸프로판다이올;에틸헥실글리세린;다이소듐이디티에이;향료"
수딩 파우더,궁중비책(GOONGBE),파우더,"카올린;옥수수전분;징크옥사이드;카프릴릭/카프릭트라이글리세라이드;마그네슘스테아레이트;실리카;칼슘카보네이트;상엽추출물;흰버드나무껍질추출물;회화나무뿌리추출물;복사나무잎추출물;매실추출물;사철쑥추출물;판테놀;글리세릴카프릴레이트;카프릴릴글라이콜;알란토인;토코페릴아세테이트;디메틸이미다졸리디논쌀전분;메틸프로판다이올;정제수;1,2-헥산다이올;에틸헥실글리세린"
수딩 플루이드,궁중비책(GOONGBE),로션,"상엽추출물;흰버드나무껍질추출물;회화나무뿌리추출물;메틸프로판다이올;복사나무잎추출물;판테놀;프로판다이올;1,2-헥산다이올;글리세린;매실추출물;사철쑥추출물;사과수;카카오추출물;펜틸렌글라이콜;다이글리세린;베타인;정제수;부틸렌글라이콜;암모늄아크릴로일다이메틸우레이트/브이피코폴리머;알지닌;에틸헥실글리세린;다이포타슘글리시리제이트;덱스트린;폴리글루타믹애씨드;소듐하이알루로네이트;카보머;잔탄검"
스티커 수딩팩,궁중비책(GOONGBE),스킨케어 기타,"정제수;글리세린;소듐폴리아크릴레이트;상엽추출물;흰버드나무껍질추출물;회화나무뿌리추출물;복사나무잎추출물;매실추출물;오디추출물;소듐하이알루로네이트;1,2-헥산다이올;소듐카보머;타타릭애씨드;알루미늄글리시네이트;티타늄디옥사이드;다이소듐이디티에이;하이드롤라이즈드콜라겐;알로에베라잎추출물;메틸프로판다이올;부틸렌글라이콜;에틸헥실글리세린;에틸헥산다이올"
워터 젤 로션,궁중비책(GOONGBE),로션,"정제수;판테놀;부틸렌글라이콜;글리세린;세틸에틸헥사노에이트;펜틸렌글라이콜;상엽추출물;흰버드나무껍질추출물;회화나무뿌리추출물;복사나무잎추출물;매실추출물;쌀추출물;세라마이드엔피;사과수;마카다미아넛오일;다이메티콘;1,2-헥산다이올;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;암모늄아크릴로일다이메틸타우레이트/브이피코폴리머;트로메타민;프로판다이올;카프릴릴글라이콜;메틸프로판다이올;글리세릴아크릴레이트/아크릴릭애씨드코폴리머;피브이엠/엠에이코폴리머;소듐폴리아크릴레이트;피토스핑고신;에틸헥실글리세린;폴리글루타믹애씨드;소듐하이알루로네이트;다이소듐이디티에이;향료"
카밍 바스 파우더,궁중비책(GOONGBE),클렌저/워시,소듐바이카보네이트;소듐설페이트;쓴쑥추출물;동백나무씨오일;베르가모트오일;올리브오일;오렌지오일;왕귤껍질오일;라벤더오일;아틀라스시다나무껍질오일;센티드제라늄꽃오일;커먼자스민오일;마텔오일;장미꽃오일;바닐라열매추출물;갈바눔수지오일;일당귀추출물;쑥잎추출물;국화꽃추출물;감초추출물;뽕나무줄기추출물;황벽나무껍질추출물;매화추출물;복사나무잎추출물;흰버드나무껍질추출물;회화나무뿌리추출물;병풀잎추출물;약모밀추출물;자근추출물;탱자추출물;쇠비름추출물;겨우살이열매추출물;베타인;다이포타슘글리시리제이트;토코페릴아세테이트;알란토인;발삼코파이바수지;폴리데센;스쿠알란;글리세릴카프릴레이트;정제수
크리미 선 쿠션,궁중비책,선케어,"정제수;징크옥사이드;티타늄디옥사이드;에틸헥실팔미테이트;다이페닐실록시페닐트라이메티콘;하이드로제네이티드폴리아이소부텐;다이카프릴릴카보네이트;프로판다이올;폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘;카프릴릴메티콘;폴리글리세릴-2다이폴리하이드록시스테아레이트;폴리메틸메타크릴레이트;폴리메틸실세스퀴옥세인;메틸메타크릴레이트크로스폴리머;합성비즈왁스;폴리하이드록시스테아릭애씨드;뽕나무잎추출물;흰버드나무껍질추출물;회화나무뿌리추출물;복사나무잎추출물;매실추출물;사철쑥추출물;마데카소사이드;아시아티코사이드;아시아틱애씨드;마데카식애씨드;판테놀;오렌지껍질오일;베르가모트오일;탄제린껍질오일;화이트참파카꽃오일;선백리향꽃/잎오일;센티드제라늄꽃오일;스피어민트잎오일;발삼코파이바수지;티트리잎오일;부틸렌글라이콜;소듐클로라이드;다이스테아다이모늄헥토라이트;알루미늄하이드록사이드;하이드로젠다이메티콘;스테아릭애씨드;프로필렌카보네이트;카프릴릴글라이콜;글리세릴카프릴레이트;메틸프로판다이올;1,2-헥산다이올;에틸헥실글리세린;다이소듐이디티에이"
크리미 솝,궁중비책(GOONGBE),클렌저/워시,"식물성유지분;정제수;흰버드나무껍질추출물;복사나무잎추출물;상엽추출물;회화나무뿌리추출물;매실추출물;귀리커넬오일;팥추출물;올리브오일;코코넛야자오일;쉐어버터;호호바씨오일;알로에베라잎추출물;포도씨오일;메틸프로판다이올;에틸헥실글리세린;1,2-헥산다이올;향료"
크리미 오일,궁중비책(GOONGBE),오일,"정제수;세틸에틸헥사노에이트;에틸헥실팔미테이트;부틸렌글라이콜;펜틸렌글라이콜;스쿠알란;동백나무씨오일;아이소노닐아이소노나노에이트;글리세린;마카다미아넛오일;상엽추출물;흰버드나무껍질추출물;회화나무뿌리추출물;복사나무잎추출물;매실추출물;쌀추출물;세라마이드엔피;베타인;글라이코실트레할로스;하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머;판테놀;하이드로제네이티드스타치하이드롤리세이트;카프릴릴글라이콜;카프릴릭/카프릭트라이글리세라이드;소듐아크릴레이트코폴리머;메틸프로판다이올;토코페릴아세테이트;트로메타민;1,2-헥산다이올;에틸헥실글리세린;카보머;다이소듐이디티에이;향료"
토닥토닥 선터치,궁중비책,선케어,정제수;에칠헥실메톡시신나메이트;부틸렌글라이콜;글리세린;에칠헥실살리실레이트;부틸메톡시디벤조일메탄;페닐벤즈이미다졸설포닉애씨드;에틸헥실팔미테이트;호모살레이트;옥토크릴렌;알코올;비스-에칠헥실옥시페놀메톡시페닐트리아진;아미노메틸프로판올;레몬껍질오일;베르가모트오일;올리브오일;감초추출물;국화꽃추출물;매화추출물;복사나무잎추출물;쑥잎추출물;일당귀추출물;흰버드나무껍질추출물;황벽나무껍질추출물;회화나무뿌리추출물;뽕나무줄기추출물;쇠비름추출물;약모밀추출물;자근추출물;탱자추출물;병풀잎추출물;오렌지오일;왕귤껍질오일;만주자작나무수액;아틀라스시다나무껍질오일;라벤더오일;센티드제라늄꽃오일;코치닐선인장열매추출물;쓴쑥추출물;팔마로사오일;스타아니스열매/씨오일;갈바눔수지오일;마카다미아넛오일;서양측백나무잎오일;쉐어버터씨드케이크추출물;커먼자스민오일;펜틸렌글라이콜;폴리아크릴레이트크로스폴리머-6;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;카프릴릴글라이콜;데하이드로잔탄검;글리세릴카프릴레이트;발삼코파이바수지;세라마이드엔피;피토스핑고신;베헤닐알코올;다이소듐이디티에이
페이스 로션,궁중비책(GOONGBE),로션,"정제수;글리세린;마카다미아넛오일;하이드로제네이티드폴리;1,2-헥산다이올;옥틸도데칸올;상엽추출물;흰버드나무껍질추출물;회화나무뿌리추출물;복사나무잎추출물;매실추출물;쌀추출물;세라마이드엔피;사과수;다이메티콘;폴리글리세릴-3메틸글루코오스다이스테아레이트;하이드로제네이티드레시틴;팔미틱애씨드;암모늄아크릴로일다이메틸타우레이트/브이피코폴리머;부틸렌글라이콜;프로판다이올;카프릴릴글라이콜;메틸프로판다이올;트로메타민;토코페롤;에틸헥실글리세린;폴리글루타믹애씨드;소듐하이알루로네이트;세테아릴알코올;C12-16알코올;카보머;다이소듐이디티에이;향료"
퓨어 선크림,궁중비책,선케어,"정제수;글리세린;부틸옥틸살리실레이트;프로판다이올;티타늄디옥사이드;호호바씨오일;베헤닐알코올;아라키딜알코올;1,2-헥산다이올;세테아릴알코올;뽕나무잎추출물;흰버드나무껍질추출물;회화나무뿌리추출물;복사나무잎추출물;매실추출물;사철쑥추출물;마데카소사이드;마데카식애씨드;아시아티코사이드;아시아틱애씨드;판테놀;스쿠알란;오렌지껍질오일;베르가모트오일;탄제린껍질오일;티트리잎오일;화이트참파카꽃오일;선백리향꽃/잎오일;센티드제라늄꽃오일;스피어민트잎오일;발삼코파이바수지;폴리글리세릴-2카프레이트;스테아릭애씨드;아라키딜글루코사이드;소듐스테아로일글루타메이트;암모늄아크릴로일다이메틸타우레이트/브이피코폴리머;수크로오스스테아레이트;알루미나;메틸프로판다이올;글리세릴카프릴레이트;에틸헥실글리세린"
